city,tier,n_test,block_kind,n_blocks,r2_no_imd,r2_no_imd_lo,r2_no_imd_hi,r2_imd,r2_imd_lo,r2_imd_hi,delta_r2,delta_r2_lo,delta_r2_hi
Paris,2,35926,day,2,0.21010862400967822,0.12204987417585855,0.30969468277571843,0.49110053555873556,0.4525102660121395,0.523343147815983,0.28099191154905734,0.21364846504026458,0.33046039183628095
amiens,2,1213,day,2,0.20162034910659876,0.16854253761974247,0.22324588849649918,0.44706002742847883,0.3965024386645123,0.45814890496854366,0.24543967832188007,0.1732565501680131,0.2896063673488012
capcotentin,2,1274,day,2,0.04456792960776357,0.023106904863431255,0.04456792960776357,0.18352634365918985,0.1581629964202821,0.18352634365918985,0.13895841405142628,0.13052804252168815,0.15142019738086743
inurba-rouen,2,3274,day,2,0.048525567389314794,0.024961855287268464,0.048525567389314794,0.34500752905721466,0.24351992392663235,0.36576907840890915,0.29648196166789986,0.21267619246006997,0.3408072231216407
le_velo_star,2,1505,day,2,-0.02134827492822744,-0.04168006208181252,-0.02134827492822744,0.03569616473185733,0.019993406497753607,0.041932142143734974,0.05704443966008477,0.04659991688807641,0.08361220422554749
levelo_inurba_marseille,2,6009,day,2,0.06755338421535251,0.007109642963021856,0.09595663338503513,0.5210583526271199,0.4425107561179056,0.5357419058551315,0.45350496841176735,0.34655412273287045,0.5286322628921096
lyon,2,12175,day,2,0.1806744198907344,0.08982066542560185,0.2576677137444774,0.6369771313511384,0.5646594560441327,0.6411679300268596,0.456302711460404,0.3069917422996553,0.5513472646012577
nancy,2,1026,day,2,0.08748316167012005,0.05238842149727463,0.10584703574718857,0.3231920920360194,0.3042808436659864,0.32685576690193885,0.23570893036589935,0.22100873115475028,0.25189242216871177
nantes,2,3245,day,2,0.08218422824465155,0.05707338324338562,0.10311465285584287,0.44403879343528463,0.4116727250062717,0.48371843140024295,0.3618545651906331,0.3545993417628861,0.3806037785444001
tanlib,2,1494,day,2,0.061152548719822786,0.025488216464765845,0.08259165592260476,0.3081127514092653,0.2716871155127295,0.3126864686426334,0.24696020268944252,0.18909545959012475,0.28719825217786754
toulouse,2,11795,day,2,0.12005466060712922,0.01417697431978171,0.2073702499395471,0.6130034539887648,0.5296654024159124,0.6130034539887648,0.49294879338163555,0.3222951524763653,0.5932406917240127
twisto_velolib_caen,2,1975,day,2,0.06864211577033008,0.04858300644847824,0.06864211577033008,0.29965481477962974,0.23001095672235228,0.3142146269567683,0.23101269900929966,0.17523837280296273,0.26563162050829003
velivert_saint_etienne,2,2561,day,2,-0.011369183929077709,-0.03900830334951655,-0.00024624685336882557,0.5371145535628521,0.4100352717190334,0.5771919047860287,0.5484837374919298,0.41028151857240225,0.6162002081355452
velo-tbm-bordeaux,2,6009,day,2,0.07954241212542956,0.031122006473653152,0.13032409204852025,0.4727292634807626,0.4022806330372868,0.48410513736232585,0.39318685135533304,0.27195654098876654,0.4529831308886727
velonecy60minutes_annecy,2,2112,day,2,-0.013832046763937456,-0.03392998080817189,-0.002301039002511107,0.5079273435350873,0.43421180728359954,0.525461986436548,0.5217593902990247,0.43651284628611065,0.5593919672447198
velopop,2,754,day,2,0.07903233847938851,0.0067708755528571585,0.1111339239687289,0.3984747726535407,0.3493352525666189,0.4226895914858415,0.3194424341741522,0.3115556675171126,0.34256437701376174
velozef,2,1204,day,2,-0.06800818731967873,-0.10737282952419647,-0.06569834119685725,0.2676274340189855,0.1845594358033329,0.2764337740783118,0.3356356213386642,0.25025777700019014,0.3838066036025083
vilvolt_epinal,2,2755,day,2,-0.030567263884663465,-0.0470846992875007,-0.010495741035009942,0.33633702379837327,0.3196699339927005,0.34672104714062457,0.36690428768303673,0.33016567502771044,0.39380574642812527
zebullo,2,1736,day,2,-0.00022193566619610472,-0.052419884827094254,0.038052674092852734,0.21906545034859903,0.19507337587998141,0.22440881019835335,0.21928738601479514,0.1863561361055006,0.24749326070707567
velomagg,1,89894,week,53,0.04157681946821412,0.028499271482251644,0.058542089325393586,0.3109247632049186,0.2764211533193376,0.34238414324322725,0.26934794373670445,0.23557145159875822,0.30128425115315743
boston_bluebikes,1,787645,week,27,0.05878190124154248,0.0481749999597451,0.07088571821990877,0.5307968301347679,0.5125430722799218,0.5450996742575315,0.4720149288932254,0.4508416406399771,0.4920646191300439
chicago_divvy,1,1165121,week,40,0.07099667511967633,0.05846590293889801,0.08340575960660315,0.41698402628726583,0.3885560088899925,0.4406190876442297,0.3459873511675895,0.3218045932528217,0.36786102280479743
dc_capitalbikeshare,1,1329223,week,36,0.022579542476923065,0.015274267360799565,0.03071081300770626,0.37960840505004,0.3682674386585784,0.3885084149172141,0.35702886257311695,0.34378387734178556,0.36769607193366116
sf_baywheels,1,912218,week,33,-0.020893083490072906,-0.029195271421376272,-0.013489647778487608,0.2471718494562285,0.22227713705968055,0.26998178890630503,0.2680649329463014,0.2451674816146141,0.2877953191863812
